ticker,ym,month_end,revenue,mseq
2059,2026-09,2026-09-01,6466169000,1
2059,2026-08,2026-08-01,6407256000,2
2059,2026-07,2026-07-01,4442581000,3
2059,2026-06,2026-06-01,3791303000,4
2059,2026-05,2026-05-01,2595892000,5
2059,2026-04,2026-04-01,1918166000,6
2059,2026-03,2026-03-01,1756868000,7
2059,2026-02,2026-02-01,1774956000,8
2059,2026-01,2026-01-01,1722455000,9
2059,2025-12,2025-12-01,1659348000,10
2059,2025-11,2025-11-01,1567264000,11
2059,2025-10,2025-10-01,1507097000,12
2059,2025-09,2025-09-01,1454984000,13
2059,2025-08,2025-08-01,1406573000,14
2059,2025-07,2025-07-01,1386041000,15
2059,2025-06,2025-06-01,1393592000,16
2059,2025-05,2025-05-01,1449099000,17
2059,2025-04,2025-04-01,1381226000,18
2059,2025-03,2025-03-01,1339536000,19
2059,2025-02,2025-02-01,1233439000,20
2059,2025-01,2025-01-01,1122385000,21
2059,2024-12,2024-12-01,1013472000,22
2059,2024-11,2024-11-01,962289000,23
2059,2024-10,2024-10-01,821999000,24
2059,2024-09,2024-09-01,868862000,25
2059,2024-08,2024-08-01,885818000,26
2059,2024-07,2024-07-01,853539000,27
2059,2024-06,2024-06-01,868403000,28
2059,2024-05,2024-05-01,794727000,29
2059,2024-04,2024-04-01,776192000,30
2059,2024-03,2024-03-01,506067000,31
2059,2024-02,2024-02-01,655548000,32
2059,2024-01,2024-01-01,639013000,33
2059,2023-12,2023-12-01,610458000,34
2059,2023-11,2023-11-01,615320000,35
2059,2023-10,2023-10-01,506831000,36
2303,2026-09,2026-09-01,25044641000,1
2303,2026-08,2026-08-01,23844045000,2
2303,2026-07,2026-07-01,23124962000,3
2303,2026-06,2026-06-01,22943755000,4
2303,2026-05,2026-05-01,22663945000,5
2303,2026-04,2026-04-01,20830626000,6
2303,2026-03,2026-03-01,19345126000,7
2303,2026-02,2026-02-01,20862150000,8
2303,2026-01,2026-01-01,19280724000,9
2303,2025-12,2025-12-01,21233847000,10
2303,2025-11,2025-11-01,21294974000,11
